step,warp,clutter,variation,entropy,bot_success,mode,human_score,delay,cognitive_load,difficulty,ARI
115,0.1,0.05,18,0.14229693617437095,0.14113668648758276,weak,0.8225345624835658,2.856063277873353,0.36522926005323425,0.2885313184491284,0.7277759123532797
116,0.1023314289693175,0.0523314289693175,18,0.00640777889373782,0.01,strong,0.8469087053817682,3.376084690513027,0.36651783452389297,0.24905314573559717,0.801703602848236
117,0.1,0.05,18,0.02664144434006704,0.01926466325531928,strong,0.8686494417775527,3.2303208511972916,0.36522926005323425,0.2538346708988372,0.8068396832451213
118,0.1,0.05,18,0.1515589156926952,0.15165399673220864,weak,0.8314456620207561,3.2727484693886026,0.36522926005323425,0.29130991230462566,0.7267752581493838
119,0.10270786465021554,0.05270786465021554,18,0.13163687844399022,0.1330801716385909,weak,0.8575801886388312,3.0353766152095156,0.36672739950720357,0.2868314405839835,0.74734186359171
120,0.10313289567308644,0.053132895673086426,18,0.044944101972376846,0.04234736940117098,average,0.8817219447264231,3.251747767187477,0.36696451763558124,0.2610607257708772,0.8016124863192758
121,0.1,0.05,18,0.05421458434039857,0.052206025729903856,average,0.8652991291477345,3.1579362686205688,0.36522926005323425,0.26210661289893666,0.7896812352481303
122,0.1,0.05,18,0.14097399637510402,0.13985353396605193,weak,0.8517480973291482,3.307605239750969,0.36522926005323425,0.28813443650934834,0.7415391098624585
123,0.10118803909500665,0.051188039095006646,18,0.035045658950927906,0.03891070787020524,average,0.8518246225395181,3.429993011800616,0.3658838641219946,0.25701053935085577,0.7901102076661053
124,0.1,0.05,18,0.04711787103760649,0.03986215299863129,average,0.8706816658352164,3.9242571474397865,0.36522926005323425,0.2599775989080991,0.7978710208856534
125,0.1,0.05,18,0.014588628889817965,0.018425366704258213,strong,0.8689426620479259,3.333305011907825,0.36522926005323425,0.2502188262637625,0.8077109002782743
126,0.1,0.05,18,0.023465454792168015,0.012516440126079656,strong,0.8353302836064093,3.026385857532087,0.36522926005323425,0.2528818740344675,0.7949780421627016
127,0.1,0.05,18,0.03425614169795405,0.03725310492517416,average,0.8090183348273162,3.1205759036820915,0.36522926005323425,0.2561190801062033,0.7716824454453437
128,0.1,0.05,18,0.034715523080207894,0.03851118638797638,average,0.8545041250430364,3.3808292029194673,0.36522926005323425,0.25625689452087946,0.791571132942689
129,0.1,0.05,18,0.15323853159891818,0.14385767740283875,weak,0.8705047260772333,3.105231313487599,0.36522926005323425,0.2918137970764926,0.7478097921958283
130,0.10107884963549912,0.051078849635499114,18,0.00550792664325821,0.01,strong,0.8611877212039333,2.884312376076882,0.36582352519516426,0.24808888073172455,0.8082255864685974
131,0.1,0.05,18,0.04445776770711431,0.03530047387784254,average,0.875085051727938,3.137549714554908,0.36522926005323425,0.2591795679089514,0.801985103241648
132,0.1,0.05,18,0.0014343273545456107,0.01,strong,0.8785736967968206,3.243940456610534,0.36522926005323425,0.2462725358031808,0.8162309099782512
133,0.1,0.05,18,0.01618908155986731,0.01,strong,0.819607696137625,3.098489903300188,0.36522926005323425,0.2506989620647773,0.7892535670554535
134,0.1,0.05,18,0.010026218498590917,0.01,strong,0.8524358611888071,3.1432827687425466,0.36522926005323425,0.24885010314639439,0.804211127220324
135,0.1,0.05,18,0.13675874790232695,0.13364449824058947,weak,0.8301438407258604,3.2355885646799316,0.36522926005323425,0.2868698619675152,0.7347377179216206
136,0.10159726249914482,0.051597262499144814,18,0.1448878350769627,0.14428635691840322,weak,0.8615672016506076,3.4948705817115986,0.3661103195099805,0.2901896475766522,0.7437574153718268
137,0.10273307999186147,0.05273307999186147,18,0.13218299390126084,0.13780620436045019,weak,0.8204400583088546,3.666898128498656,0.3667414519797437,0.28700932769370485,0.7284843015074115
138,0.1046841916761089,0.05468419167610889,18,0.011661570059897958,0.01,strong,0.8358822158741414,3.7527660852325133,0.3678344264502162,0.25194587501176846,0.7964524096421868
139,0.1,0.05,18,0.010578373171464293,0.01,strong,0.8750821929947888,3.298557954609352,0.36522926005323425,0.2490157495482564,0.8143854118928295
140,0.1,0.05,18,0.150962309517641,0.14065856989323106,weak,0.8866030661623764,3.2036131656425977,0.36522926005323425,0.2911309304521094,0.7565619302759046
141,0.10030583948249215,0.05030583948249215,18,0.01539656366973223,0.010538708914960452,strong,0.8643622120659724,3.6894802692414217,0.3653973719947764,0.25062931863927895,0.8091576445540274
142,0.1,0.05,18,0.04802667627152091,0.05285129357442143,average,0.8652172785134811,3.595829756241196,0.36522926005323425,0.2602502404782734,0.7895396691747496
143,0.1,0.05,18,0.13687489364979463,0.14566859108191021,weak,0.8278310790601968,2.6665327568582895,0.36522926005323425,0.2869047056917555,0.7282826490210536
144,0.10211738467510914,0.052117384675109145,18,0.03660747386044477,0.03795450803266756,average,0.8655579170609646,3.7331031263542434,0.36639886020726725,0.25799407990898354,0.7966221260718354
145,0.1,0.05,18,0.037145207964340884,0.03677473406224201,average,0.8840685602249382,2.8642719727218524,0.36522926005323425,0.25698579998611937,0.8055836417746015
146,0.1,0.05,18,0.001483087803224226,0.01,strong,0.8503852953355799,3.393522044868112,0.36522926005323425,0.24628716393778438,0.8035446665072327
147,0.1,0.05,18,0.0525740613133327,0.052737535053803165,average,0.8101474073127147,3.251566398332483,0.36522926005323425,0.2616144559908169,0.7646729969174284
148,0.1,0.05,18,0.1259380332216743,0.13246038072419855,weak,0.864889700290113,3.388281884015374,0.36522926005323425,0.2836236475633194,0.7512308290483298
149,0.1,0.05,18,0.014548703772516824,0.0192481027041536,strong,0.8412189109667785,2.960538353619634,0.36522926005323425,0.2502068487285722,0.7948661788453242
150,0.1,0.05,18,0.1334258905221404,0.13373928600850626,weak,0.8705990957235371,2.9825845962856565,0.36522926005323425,0.28587000475345925,0.7529999138964182
151,0.10002963538499504,0.05002963538499504,18,0.14488417287692892,0.14236394029933971,weak,0.8408870733771012,3.040497531706475,0.3652455375386223,0.2893237669452839,0.7354030331904642
152,0.10183368626181963,0.051833686261819625,18,0.14869263695594406,0.14922778875571685,weak,0.8305411702734598,3.1157500304292274,0.36624137772382337,0.29146214635418943,0.7274448070475654
153,0.10439626608060461,0.0543962660806046,18,0.1398012686781797,0.14579065814112396,weak,0.8901865309627964,3.297432610712809,0.3676724414632258,0.29022579961026257,0.7559555628087264
154,0.10439346165360824,0.05439346165360823,18,0.034356416320810795,0.03785504386077372,average,0.8551720166150829,3.2531496122026584,0.367670864888545,0.2585907673283711,0.791933561006602
155,0.1,0.05,18,0.04972721951482291,0.050832067512489025,average,0.8637795833143808,3.505554723200511,0.36522926005323425,0.260760403451264,0.7897503417657249
156,0.1,0.05,18,0.007347494261947363,0.01,strong,0.8399798845006187,3.1957869010408264,0.36522926005323425,0.24804648587540132,0.7986862994377382
157,0.1,0.05,18,0.0,0.01,strong,0.8211924280695413,3.688364690419677,0.36522926005323425,0.24584223759681711,0.790452368871612
158,0.1,0.05,18,0.023845935156880403,0.015621096589373983,strong,0.8465155285223848,3.4512694991030495,0.36522926005323425,0.25299601814388123,0.7986028925554668
159,0.1,0.05,18,0.054348539981132114,0.05279228920841443,average,0.913073865482617,3.6141748836166925,0.36522926005323425,0.2621467995911567,0.8109120293642756
160,0.1,0.05,18,0.15041308370765188,0.1510526716650557,weak,0.8323854405015038,2.796368514109048,0.36522926005323425,0.2909661627091127,0.7275031297054902
161,0.10261296830220565,0.05261296830220564,18,0.1361481435722432,0.13513082539290708,weak,0.8360118788201539,2.856684744357786,0.36667453063916816,0.288131951254424,0.7365832789168186
162,0.10404304658317194,0.054043046583171925,18,0.14014328921003008,0.1433761536312427,weak,0.8293101548174295,3.792301664869112,0.36747404981352644,0.2901300141201183,0.7296572991217722
163,0.10615504790815113,0.0561550479081511,18,0.13646541055341646,0.13205721176866922,weak,0.8504867772282528,3.7343129640063757,0.36866563495410515,0.29021823566371296,0.7442714808904415
164,0.10698022257462513,0.05698022257462511,18,0.010386841538238092,0.01,strong,0.8333044366653616,3.7489085219818543,0.36913465680027346,0.2528636868053278,0.79520062781888
165,0.1,0.05,18,0.04092366488466523,0.03822911466624194,average,0.8307513262269832,3.221200806761237,0.36522926005323425,0.2581193370622167,0.780823061496112
166,0.1,0.05,18,0.011959178927978912,0.0163372701949027,strong,0.8238402546942256,3.556155674445812,0.36522926005323425,0.2494299912752108,0.7884333438971742
